Postnummer,Datum,Uppskattning,Low_CI,High_CI
46,2020-05-15,0.58,0.17,1.6
36,2020-05-15,0.48,0.01,3.25
26,2020-05-15,0.48,0.24,0.9
90,2020-05-15,0.84,0.32,1.87
52,2020-05-15,0.76,0.22,2.03
29,2020-05-15,0.49,0.17,1.22
43,2020-05-15,0.62,0.34,1.06
19,2020-05-15,1.02,0.53,1.87
97,2020-05-15,0.8,0.16,2.78
72,2020-05-15,0.67,0.24,1.6
27,2020-05-15,0.61,0.24,1.38
59,2020-05-15,0.68,0.19,1.95
53,2020-05-15,0.68,0.16,2.04
79,2020-05-15,0.78,0.27,1.88
11,2020-05-15,0.89,0.63,1.24
15,2020-05-15,1.04,0.29,2.96
28,2020-05-15,0.66,0.21,1.66
55,2020-05-15,0.72,0.18,2.02
70,2020-05-15,0.83,0.29,1.98
30,2020-05-15,0.59,0.13,1.82
41,2020-05-15,0.69,0.44,1.07
45,2020-05-15,0.63,0.18,1.8
12,2020-05-15,0.92,0.61,1.35
22,2020-05-15,0.55,0.33,0.87
16,2020-05-15,0.83,0.46,1.43
18,2020-05-15,0.71,0.4,1.25
60,2020-05-15,0.8,0.22,2.32
75,2020-05-15,0.75,0.39,1.36
13,2020-05-15,0.79,0.45,1.34
81,2020-05-15,0.79,0.18,2.56
87,2020-05-15,0.83,0.08,3.75
71,2020-05-15,0.78,0.16,3.48
73,2020-05-15,0.66,0.14,2.21
57,2020-05-15,0.59,0.21,1.4
24,2020-05-15,0.5,0.28,0.85
54,2020-05-15,0.6,0.19,1.57
64,2020-05-15,0.88,0.26,2.44
14,2020-05-15,0.88,0.44,1.7
93,2020-05-15,0.88,0.2,3.02
80,2020-05-15,0.7,0.19,2.06
74,2020-05-15,0.69,0.26,1.69
78,2020-05-15,1.09,0.27,3.49
35,2020-05-15,0.53,0.12,1.67
63,2020-05-15,0.7,0.11,2.84
82,2020-05-15,0.9,0.28,2.4
42,2020-05-15,0.8,0.4,1.49
84,2020-05-15,,,
34,2020-05-15,0.45,0.07,1.81
92,2020-05-15,,,
61,2020-05-15,0.75,0.24,2.03
76,2020-05-15,1.1,0.19,5.34
44,2020-05-15,0.63,0.28,1.27
58,2020-05-15,0.67,0.25,1.47
38,2020-05-15,0.69,0.13,2.47
91,2020-05-15,,,
83,2020-05-15,1.02,0.39,2.38
85,2020-05-15,0.47,0.05,2.22
56,2020-05-15,0.68,0.17,2.04
68,2020-05-15,0.88,0.18,3.09
47,2020-05-15,0.75,0.09,3.97
17,2020-05-15,0.73,0.35,1.39
37,2020-05-15,0.51,0.15,1.36
88,2020-05-15,,,
62,2020-05-15,0.72,0.11,3.02
39,2020-05-15,0.74,0.12,2.69
65,2020-05-15,0.85,0.28,2.09
66,2020-05-15,0.71,0.15,2.34
31,2020-05-15,0.53,0.1,1.92
51,2020-05-15,0.48,0.08,1.86
89,2020-05-15,0.33,0.01,2.66
33,2020-05-15,0.4,0.05,1.77
69,2020-05-15,0.85,0.16,2.89
67,2020-05-15,0.34,0,3.98
94,2020-05-15,0.68,0.04,3.6
50,2020-05-15,0.7,0.15,2.17
86,2020-05-15,0.61,0.06,2.94
96,2020-05-15,,,
95,2020-05-15,,,
98,2020-05-15,0.8,0.07,3.9
20,2020-05-15,,,
10,2020-05-15,,,
21,2020-05-16,0.53,0.34,0.8
23,2020-05-16,0.5,0.27,0.88
25,2020-05-16,0.42,0.17,0.91
77,2020-05-16,1.15,0.29,3.54
46,2020-05-16,0.58,0.17,1.58
29,2020-05-16,0.47,0.16,1.21
36,2020-05-16,0.38,0.01,3.13
26,2020-05-16,0.44,0.22,0.86
90,2020-05-16,0.78,0.29,1.78
52,2020-05-16,0.8,0.23,2.09
43,2020-05-16,0.59,0.32,1.02
19,2020-05-16,1.03,0.54,1.87
97,2020-05-16,0.7,0.12,2.63
72,2020-05-16,0.68,0.25,1.62
27,2020-05-16,0.54,0.21,1.29
59,2020-05-16,0.71,0.21,1.98
53,2020-05-16,0.71,0.18,2.06
79,2020-05-16,0.68,0.22,1.72
11,2020-05-16,0.8,0.55,1.13
15,2020-05-16,1.11,0.32,3.14
28,2020-05-16,0.65,0.21,1.65
55,2020-05-16,0.64,0.15,1.91
70,2020-05-16,0.86,0.31,2
30,2020-05-16,0.51,0.11,1.69
41,2020-05-16,0.72,0.46,1.09
45,2020-05-16,0.68,0.22,1.84
