date,total_tests,proportion_positive,test_type
2021-08-28,57,0,Snabbtester (Antigen)
2021-08-28,41,0,PCR
2021-08-29,60,0.0166666666666667,Snabbtester (Antigen)
2021-08-29,48,0.0416666666666667,PCR
2021-08-30,98,0.0204081632653061,Snabbtester (Antigen)
2021-08-30,157,0.0127388535031847,PCR
2021-08-31,92,0,Snabbtester (Antigen)
2021-08-31,124,0.0161290322580645,PCR
2021-09-01,107,0,Snabbtester (Antigen)
2021-09-01,153,0.0326797385620915,PCR
2021-09-02,87,0,Snabbtester (Antigen)
2021-09-02,154,0.025974025974026,PCR
2021-09-03,90,0,Snabbtester (Antigen)
2021-09-03,144,0.0208333333333333,PCR
2021-09-04,62,0,Snabbtester (Antigen)
2021-09-04,67,0,PCR
2021-09-05,60,0,Snabbtester (Antigen)
2021-09-05,55,0.0181818181818182,PCR
2021-09-06,121,0.00826446280991736,Snabbtester (Antigen)
2021-09-06,197,0.0101522842639594,PCR
2021-09-07,103,0.0194174757281553,Snabbtester (Antigen)
2021-09-07,193,0.0155440414507772,PCR
2021-09-08,79,0.0253164556962025,Snabbtester (Antigen)
2021-09-08,147,0.00680272108843537,PCR
2021-09-09,86,0.0116279069767442,Snabbtester (Antigen)
2021-09-09,130,0.0307692307692308,PCR
2021-09-10,97,0.0103092783505155,Snabbtester (Antigen)
2021-09-10,100,0.04,PCR
2021-09-11,66,0,Snabbtester (Antigen)
2021-09-11,52,0,PCR
2021-09-12,49,0.0204081632653061,Snabbtester (Antigen)
2021-09-12,61,0.0163934426229508,PCR
2021-09-13,99,0,Snabbtester (Antigen)
2021-09-13,141,0.0283687943262411,PCR
2021-09-14,77,0,Snabbtester (Antigen)
2021-09-14,128,0.046875,PCR
2021-09-15,86,0.0116279069767442,Snabbtester (Antigen)
2021-09-15,121,0.0330578512396694,PCR
2021-09-16,84,0.0238095238095238,Snabbtester (Antigen)
2021-09-16,123,0.032520325203252,PCR
2021-09-17,95,0.0315789473684211,Snabbtester (Antigen)
2021-09-17,105,0.0285714285714286,PCR
2021-09-18,49,0,Snabbtester (Antigen)
2021-09-18,48,0.0416666666666667,PCR
2021-09-19,45,0.0444444444444444,Snabbtester (Antigen)
2021-09-19,45,0.0444444444444444,PCR
2021-09-20,99,0.0101010101010101,Snabbtester (Antigen)
2021-09-20,159,0.0440251572327044,PCR
2021-09-21,68,0,Snabbtester (Antigen)
2021-09-21,119,0.0168067226890756,PCR
2021-09-22,91,0.021978021978022,Snabbtester (Antigen)
2021-09-22,126,0.00793650793650794,PCR
2021-09-23,60,0,Snabbtester (Antigen)
2021-09-23,112,0.0178571428571429,PCR
2021-09-24,67,0,Snabbtester (Antigen)
2021-09-24,86,0,PCR
2021-09-25,54,0.037037037037037,Snabbtester (Antigen)
2021-09-25,39,0,PCR
2021-09-26,40,0.025,Snabbtester (Antigen)
2021-09-26,68,0.0147058823529412,PCR
2021-09-27,78,0.0128205128205128,Snabbtester (Antigen)
2021-09-27,157,0.0191082802547771,PCR
2021-09-28,48,0,Snabbtester (Antigen)
2021-09-28,116,0.00862068965517241,PCR
2021-09-29,55,0.0181818181818182,Snabbtester (Antigen)
2021-09-29,88,0.0340909090909091,PCR
2021-09-30,62,0,Snabbtester (Antigen)
2021-09-30,102,0.0294117647058824,PCR
2021-10-01,62,0.0161290322580645,Snabbtester (Antigen)
2021-10-01,80,0.025,PCR
2021-10-02,52,0.0384615384615385,Snabbtester (Antigen)
2021-10-02,49,0.0612244897959184,PCR
2021-10-03,40,0.025,Snabbtester (Antigen)
2021-10-03,30,0,PCR
2021-10-04,65,0,Snabbtester (Antigen)
2021-10-04,150,0.04,PCR
2021-10-05,71,0,Snabbtester (Antigen)
2021-10-05,131,0.0152671755725191,PCR
2021-10-06,57,0.0175438596491228,Snabbtester (Antigen)
